N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"54,100","하락
				1,200",-2.17%,100,"3,229,652","5,969,783",50.58,"16,288,351",11.46,4.15,
2,SK하이닉스,"194,300","하락
				9,200",-4.52%,"5,000","1,414,509","728,002",55.37,"4,644,746",13.56,-15.61,
3,LG에너지솔루션,"347,500","하락
				1,000",-0.29%,500,"813,150","234,000",4.44,"162,249",-224.19,6.36,
4,삼성바이오로직스,"1,012,000","상승
				12,000",+1.20%,"2,500","720,281","71,174",13.42,"72,128",68.43,9.12,
5,현대차,"220,000","하락
				6,000",-2.65%,"5,000","460,716","209,416",39.64,"864,490",4.81,13.68,
6,기아,"105,400","하락
				200",-0.19%,"5,000","419,147","397,673",39.94,"1,116,189",4.38,20.44,
7,셀트리온,"183,800","하락
				1,300",-0.70%,"1,000","398,990","217,079",22.27,"435,088",206.29,5.07,
8,삼성전자우,"44,500","하락
				1,450",-3.16%,100,"366,185","822,887",73.80,"1,258,170",9.43,N/A,
9,KB금융,"89,300","상승
				1,500",+1.71%,"5,000","351,421","393,528",76.97,"1,405,344",7.71,8.44,
10,NAVER,"204,000","상승
				2,000",+0.99%,100,"323,211","158,437",47.29,"540,699",19.67,4.41,
11,HD현대중공업,"309,500","하락
				4,500",-1.43%,"5,000","274,753","88,773",10.97,"530,450",96.09,0.47,
12,신한지주,"50,000","상승
				150",+0.30%,"5,000","251,723","503,445",60.06,"968,517",5.57,8.36,
13,현대모비스,"254,000","하락
				3,500",-1.36%,"5,000","236,208","92,995",41.39,"163,374",6.93,8.73,
14,삼성물산,"119,800","하락
				1,600",-1.32%,100,"212,985","177,784",26.27,"226,402",10.28,7.28,
15,POSCO홀딩스,"257,000","하락
				5,000",-1.91%,"5,000","212,345","82,624",28.61,"241,245",16.44,3.18,
16,메리츠금융지주,"109,100","상승
				4,600",+4.40%,500,"208,076","190,720",16.29,"541,807",9.27,28.11,
17,SK이노베이션,"125,500","상승
				800",+0.64%,"5,000","189,549","151,035",14.11,"274,765",-9.24,1.22,
18,삼성생명,"93,900",보합0,0.00%,500,"187,800","200,000",21.65,"268,914",7.55,4.95,
19,한화에어로스페이스,"395,500","상승
				17,000",+4.49%,"5,000","180,273","45,581",44.41,"418,315",32.40,25.60,
20,고려아연,"843,000","하락
				32,000",-3.66%,"5,000","174,529","20,703",12.88,"41,102",27.89,5.72,
21,삼성화재,"359,500","상승
				5,000",+1.41%,500,"170,313","47,375",53.71,"93,647",8.90,12.73,
22,LG화학,"241,000","하락
				4,000",-1.63%,"5,000","170,128","70,592",33.65,"207,208",66.63,4.20,
23,하나금융지주,"58,600",보합0,0.00%,"5,000","168,323","287,241",67.78,"748,597",4.66,9.01,
24,HD한국조선해양,"235,000","하락
				5,000",-2.08%,"5,000","166,317","70,773",32.00,"263,536",27.41,2.26,
